CITY_NAME,LATITUDE,LONGITUDE
Cleveland,41.49740740666667,-81.67462963
Clevland,35.21138889,-84.79972222
Clewiston,26.73527778,-81.05111111
Clifton,32.95694444,-109.21111111
Clinton,37.591444442,-90.678000002
Clintonville,44.61305556,-88.73083333
Cloquet,46.70111111,-92.50361111
Clover Bay,55.29888889,-132.145
Cloverdale,38.77638889,-122.9925
Clovis,34.404583335,-103.2
Cluff Lake,58.39138889,-109.51638889
Clyde River,70.48583333,-68.51694444
Coal Bay,55.50055556,-132.4875
Coalinga,36.16222222,-120.29472222
Coatesville,39.97888889,-75.86555556
Cobol,57.48333333,-135.86666667
Cochrane,49.10666667,-81.01527778
Cocoa Beach,28.235,-80.61
Cody,44.52027778,-109.02388889
Coeur d'Alene,47.77444444,-116.81944444
Coffee Point,58.21666667,-157.5
Coffeyville,37.09388889,-95.57194444
Coffman Cove,56.03333333,-132.91666667
Colby,39.40388889,-101.04666667
Cold Bay,55.472916665,-162.425833335
Cold Lake,54.405,-110.27944444
Coldfoot,67.25222222,-150.20388889
Coleman,31.84111111,-99.40361111
College Park,38.98055556,-76.92222222
College Station/Bryan,30.58861111,-96.36388889
Collegeville,40.20416667,-75.43027778
Collingwood,44.44944444,-80.15916667
Colomac,64.385,-115.12472222
Colorado Creek,63.57111111,-156.00527778
Colorado Springs,38.819907406666665,-104.75981481333334
Colstrip,45.85277778,-106.70916667
Colton,34.05638889,-117.365
Columbia,35.705416666666665,-90.45458333333333
Columbus,36.900833332727274,-86.41921717090909
Colusa,39.17902778,-121.99333333
Colville Lake,67.02111111,-126.12861111
Comanche,31.92027778,-98.59916667
Commerce,33.98666667,-118.16055556
Commerce/Montebello,34.01666667,-118.13333333
Comox,49.71083333,-124.88666667
Concord,40.59625,-96.77958333
Concordia,39.54916667,-97.65222222
Connell,46.66138889,-118.83055556
Connersville,39.69805556,-85.13111111
Conroe,30.35333333,-95.415
Conway,34.454861109999996,-85.77333333
Cookeville,36.19333333,-85.48694444
Cooper Lodge,60.48416667,-149.72277778
Copalis,47.14472222,-124.18916667
Copper Center,61.94111111,-145.29416667
Coral Harbour,64.19333333,-83.35944444
Cordero Lodge,50.44666667,-125.45277778
Cordova,60.51763889,-145.60166666499998
Corinth,34.915,-88.60361111
Corner Bay,57.73777778,-135.12555556
Cornwall,45.09277778,-74.56777778
Corpus Christi,27.7325,-97.39638889
Corsicana,32.02805556,-96.40055556
Cortes Bay,50.05694444,-124.83333333
Cortez,37.30305556,-108.62805556
Cortland,42.59277778,-76.215
Corvallis,44.49722222,-123.28944444
Cosna River,64.5,-151.66666667
Cottonwood,34.73,-112.03527778
Cotulla,28.45583333,-99.21722222
Council,64.89666667,-163.70361111
Council Bluffs,41.26,-95.75861111
Covington,35.58333333,-89.58722222
Cozad,40.86972222,-100.00416667
Crafton Island,60.50277778,-147.94027778
Craig,47.987222225,-120.33388889
Cranbrook,49.61222222,-115.78194444
Crane Island,48.6,-123.0
Crescent City,41.78027778,-124.23666667
Crested Butte,38.85194444,-106.93277778
Crestone,37.96666667,-105.76666667
Crestview,30.71375,-86.52208333
Creswell,43.93083333,-123.00666667
Crooked Creek,61.86777778,-158.135
