,AIRPORT,CITY,STATE,CITY_MARKET_ID
676,KGK,Koliganek,AK,32671
677,PSP,Palm Springs,CA,34262
678,FOD,Fort Dodge,IA,31725
679,GRK,Killeen,TX,31982
680,FKL,Franklin/Oil City,PA,31684
681,BIG,Big Delta,AK,30616
682,AKB,Atka,AK,30237
683,BIF,El Paso,TX,30615
684,CMI,Champaign/Urbana,IL,31067
685,SYA,Shemya,AK,35090
686,HST,Homestead,FL,32216
687,GGW,Glasgow,MT,31908
688,A83,Petrof Point,AK,30096
689,ITH,Ithaca/Cortland,NY,32397
690,GBD,Great Bend,KS,31856
691,TBN,Fort Leonard Wood,MO,35138
692,HSH,Las Vegas,NV,32211
693,XXP,Lakeport,CA,35973
694,RIW,Riverton/Lander,WY,34534
695,KEK,Ekwok,AK,32653
696,EGE,Eagle,CO,31503
697,NGF,Kaneohe,HI,33662
698,KYK,Karluk,AK,32866
699,ALS,Alamosa,CO,30272
700,BLV,Belleville,IL,30676
701,PSB,Philipsburg,PA,34711
702,KPB,Point Baker,AK,32773
703,PGM,Port Graham,AK,34088
704,TCM,Tacoma,WA,31979
705,TYE,Tyonek,AK,35406
706,PUB,Pueblo,CO,34288
707,SAC,Sacramento,CA,33192
708,MXY,McCarthy,AK,33564
709,CHZ,Chiloquin,OR,30999
710,ZXM,Saltery Cove,AK,36345
711,LBE,Latrobe,PA,32898
712,BAF,Westfield,MA,30478
713,DOF,Dora Bay,AK,31367
714,SRQ,Sarasota/Bradenton,FL,34986
715,MBL,Manistee/Ludington,MI,33182
716,RCE,Roche Harbor,WA,34477
717,IRC,Circle,AK,32370
718,PUW,Pullman,WA,34303
719,KFP,False Pass,AK,32663
720,CFA,Coffee Point,AK,30951
721,STP,Minneapolis/St. Paul,MN,31650
722,PTV,Porterville,CA,34283
723,RIV,Riverside,CA,34454
724,XXY,Fortuna,CA,35982
725,PVY,Pope Vanoy,AK,34316
726,GEK,Ganes Creek,AK,31885
727,ELY,Ely,NV,31547
728,IGM,Kingman,AZ,32297
729,MIB,Minot,ND,33304
730,GBH,Galbraith Lake,AK,31859
731,DEC,Decatur,IL,31288
732,SNS,Salinas/Monterey,CA,34922
733,BCE,Bryce Canyon,UT,30511
734,NQX,Key West,FL,31624
735,AGC,Pittsburgh,PA,30198
736,KXA,Kasaan,AK,32857
737,CYM,Chatham,AK,31230
738,DPA,Chicago,IL,30977
739,DMA,Tucson,AZ,30436
740,ADK,Adak Island,AK,30165
741,KPM,Napamute,AK,32778
742,DYS,Abilene,TX,30136
743,03A,Granite Mountain,AK,30003
744,FDY,Findlay,OH,31659
745,SVC,Silver City/Hurley,NM,35051
746,CAD,Cadillac,MI,30867
747,SUX,Sioux City,IA,35048
748,OFK,Norfolk,NE,33825
749,SXQ,Soldotna,AK,35086
750,SYB,Seal Bay,AK,35091
751,AIA,Alliance,NE,30221
752,WQH,Dorris,CA,35820
